N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,TURTLE_ID,MARCAS_COL_Esquerda,MARCAS_COL_Direita,MARCAS_COL_Posterior_Esquerda,MARCAS_COL_Posterior_Direita,MARCAS_ENC_Esquerda,MARCAS_ENC_Direita,MARCAS_ENC_Posterior_Esquerda,MARCAS_ENC_Posterior_Direita,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP DOWNLOAD - DATE,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
109,LEO,CD,18-Feb-23,57,02:50,11,375,-3.86976,-32.43681,F21,NA,NA,NA,NA,BRA 31348,BRA 31349,NA,NA,NA,NA,NA,SIM,#N57 18-Feb-2023 BRA 31348 BRA 31349,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Apr-23,12-Apr-23,SU,108,1,2,111,NAO,NA,53,97.3,Pintada novamente. 1 stuck hatchling. Nest very deep.
110,LEO,ML,18-Feb-23,NA,NA,11,376,-3.86944,-32.43528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inicio da praia; entre 04:20 e 05:30; unsighted.
111,LEO,SD,19-Feb-23,NA,20:35,10,282,-3.87047,-32.43884,F2,NA,NA,NA,NA,BRA 27873,BRA 31301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estava na vegetacao no inicio da praia, acima das pedras, desceu as 21:25."
112,LEO,CD,19-Feb-23,ND,20:40,10,283,-3.86954,-32.43732,F7,NA,NA,NA,NA,BRA 31303,BRA 31317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,"Ficou presa entre pedras ao fazer cama, retiramos as pedras e ela se soltou e  depois de 30minutos desceu p o mar"
113,LEO,CD,19-Feb-23,58,23:00,10,284 (I) e 285 (P),-3.86954,-32.43731,F24,NA,NA,NA,NA,BRA 31364,NA,NA,BRA 31365,NA,NA,NA,SIM,#N58 19-Feb-2023 BRA 31364 BRA 31365,P,NA,NA,NA,NA,A,84,NA,-3.86985,-32.4387,14-Apr-23,14-Apr-23,SU,72,3,9,84,NAO,NA,54,85.71,"Pintada novamente, ninho na vegetacao com muitas raizes em frente a casinha, 4 ovos anomalos 1 pequeno e 3 medios WP(P)285."
114,LEO,CD,19-Feb-23,59,00:25,10,286,-3.86999,-32.43771,F30,NA,NA,NA,NA,BRA 21668,BRA 21667,NA,NA,NA,111,98,SIM,#N59 19-Feb-2023 BRA 21668 BRA 21667,I,21309310,2/20/2023 02:00,4/15/2023 00:55,15-Apr-23,NA,NA,NA,NA,NA,14-Apr-23,14-Apr-23,SU,55,0,41,96,SIM,31,54,57.29,"Hobo colocado muito superficil no ninho, no final da desova, derrubou estaca N1. 28 hatchlings emerged between 22:30 to 23:00 and 3 stuck. 24 hatchlings probably escaped the cage."
115,LEO,CD,19-Feb-23,60,01:45,10,287,-3.86986,-32.43682,F2,NA,NA,NA,NA,BRA 27873,BRA 31301,NA,NA,NA,NA,NA,NA,NA,I,21309348,2/20/2023 03:14,4/16/2023 05:35,16-Apr-23,NA,NA,NA,NA,NA,15-Apr-23,15-Apr-23,SU,76,3,11,90,SIM,40,55,84.44,"pintada novamente, cama com pedras. 1 filhote retido."
116,LEO,CD,20-Feb-23,61,20:35,11,377,-3.86978,-32.43616,F9,NA,NA,NA,NA,BR 53375,NA,NA,BRA 27913,NA,NA,NA,NAO,NA,I,21309314,2/20/2023 20:51,4/15/2023 04:12,15-Apr-23,NA,NA,NA,NA,NA,14-Apr-23,14-Apr-23,SU,78,1,8,87,SIM,40,53,89.66,Pintada novamente. Nódulo da lado esquerdo (foto); Casco inteiro (foto). Foto marca posterior ok. 71 filhotes emergidos entre 00:40 e 1:50. 7 retidos. Craca no lado direito da carapaça.
117,LEO,CD,20-Feb-23,62,20:35,11,378,-3.86962,-32.43666,F10,NA,NA,NA,NA,BRA 31307,BRA 31308,NA,NA,NA,NA,NA,NAO,NA,I,21309337,2/20/2023 22:54,4/14/2023 23:46,15-Apr-23,NA,NA,NA,NA,NA,14-Apr-23,14-Apr-23,SU,102,0,3,105,SIM,40,53,97.14,Pintada novamente. 102 filhotes emerged antes de 20:40.
118,LEO,CD,20-Feb-23,63,21:50,11,379 (I) e 380 (P),-3.86998,-32.43829,F31,BRA 31354,NA,NA,NA,NA,NA,NA,BR 98349,NA,112.2,99.4,SIM,#N63 20-Feb-2023 BRA 31354 BR 98349,P,NA,NA,NA,NA,A,100,NA,-3.87008,-32.43804,12-Apr-23,12-Apr-23,SU,88,0,11,99,NAO,NA,51,88.89,"Pintada. Cicatrizes de marcas anterior esquerda (axila e entre 1 -2 escama), anterior direira (axila, entre 1-2 e entre 2-3 escamas), posterior esquerda. Ninho no leito do segundo riozinho, com três dedos de água na cova. "
119,LEO,CD,21-Feb-23,64,20:27,11,381,-3.86941,-32.43533,F32,BRA 31346,BRA 31347,NA,NA,NA,NA,NA,NA,NA,103.4,95.7,SIM,#N64 21-Feb-2023 BRA 31346 BRA 31347,I,21309317,2/21/2023 20:55,4/19/2023 04:26,19-Apr-23,NA,NA,2,NA,NA,NA,18-Apr-23,OT,0,4,21,27,NAO,NA,NA,0,"Nest at the beginning of the beach at the vegetation. Barnacle on carapace, right side, close to the head. Shallow egg chamber. Lots of roots and rocks in the nest, was in the vegetation at a spot that regularly flooded and made a pool with heavy rain."
120,LEO,CD,21-Feb-23,65,20:33,11,382,-3.86994,-32.43756,F33,BRA 31350,BRA 31351,NA,NA,NA,NA,NA,NA,NA,103.1,98,SIM,#N65 21-Feb-2023 BRA 31350 BRA 31351,I,21309345,2/21/2023 21:05,4/16/2023 05:25,16-Apr-23,NA,NA,NA,NA,NA,15-Apr-23,15-Apr-23,SU,90,1,23,114,SIM,40,53,78.95,Pintada. Fotos tags ok. Ninho proximo ao N11.
121,LEO,CD,21-Feb-23,66,20:34,11,383,-3.8701,-32.43797,F26,NA,NA,NA,NA,BRA 31368,BRA 31369,NA,NA,NA,NA,NA,SIM,#N66 21-Feb-2023 BRA 31368 BRA 31369,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Apr-23,16-Apr-23,SU,112,0,1,113,NAO,NA,53,99.12,"Pintada novomente. Derrubou estaca N25, estaca ancorada relocada no lugar. 1 ovo anômalo pequeno."
122,LEO,ML,21-Feb-23,NA,21:33,11,384,-3.87004,-32.43964,F25,NA,NA,NA,NA,BRA 31366,BRA 31367,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Final portion of the beach.
123,LEO,ML,21-Feb-23,NA,21:33,11,386,-3.87014,-32.4395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unsighted. Final portion of beach.
124,LEO,ML,21-Feb-23,NA,21:33,11,385,-3.87006,-32.4396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unsighted. Final portion of beach.
125,LEO,CD,21-Feb-23,67,22:50,11,387 (I) e 388 (P),-3.87034,-32.43831,F27,NA,NA,NA,BRA 31355,BRA 31374,NA,NA,NA,NA,NA,NA,SIM,#N67 21-Feb-2023 BRA 31374 BRA 31355,P,NA,NA,NA,NA,A,83,0,-3.87015,-32.43813,18-Apr-23,19-Apr-23,SU,78,1,0,79,NAO,NA,56,98.73,Tag scars -front flipper right. New tag - hind flipper right. Nodulo on top flipper front left (photo). Nest on spring tide line. Marca BRA 31375 perdida. Dia 15-Apr predação de um filhote por caranguejo.
126,LEO,ML,21-Feb-23,NA,NA,11,389,-3.87055,-32.43917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entre 2:20 e 3:20. ML proxima a casinha. Unsighted.
127,LEO,ML,22-Feb-23,NA,20:00,10,288,-3.86986,-32.43681,F14,NA,NA,NA,NA,NA,BRA 31326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cama na trilha no inicio da praia. Não foi verificada a outra tag.
128,LEO,CD,22-Feb-23,68,20:15,10 e 11,290 (I) e 424 (P),-3.87001,-32.44013,F34,BRA 31373,BRA 31360,NA,NA,NA,NA,NA,NA,NA,113.8,98.8,SIM,#N68 22-Feb-2023 BRA 31373 BRA 31360,P,NA,NA,NA,NA,A,126,0,-3.8701,-32.438,12-Apr-23,14-Apr-23,SU,105,18,3,126,SIM,40,49,83.33,Pintada; fotos das marcas OK; ninho no riozinho em frente da casinha; marca colocada entre 2 e 3 por causa de cicatrizes; 4 filhotes emergidos dia 12-Apr e os demais emergidos dia 14-Apr.
129,LEO,ML,22-Feb-23,NA,NA,10,289,-3.87,-32.44014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unsighted ao termino da praia; antes de 20:20.
130,LEO,ML,22-Feb-23,NA,NA,11,390,-3.87004,-32.43976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unsighted ao termino da praia; entre 20:30 e 21:20.
131,LEO,ML,22-Feb-23,NA,21:27,10,292,-3.86948,-32.4355,F8,NA,NA,NA,NA,BRA 31305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ML ao inicio da praia, subiu as pedras e desceu."
132,LEO,ML,22-Feb-23,NA,22:50,11,391,-3.87035,-32.43805,F4,NA,NA,NA,NA,BRA 31313,BRA 31314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ml em frente da casinha.
133,LEO,ML,23-Feb-23,NA,19:50,10,292,-3.86943,-32.43556,F16,NA,NA,NA,NA,BRA 31336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,"ML no início da praia, nas pedras. Não foi possível checar a outra tag. "
134,LEO,CD,23-Feb-23,69,20:00,11,392,-3.86985,-32.43743,F28,BRA 31372,BRA 31378,NA,NA,NA,NA,BRA 31330,BRA 31310,NA,NA,NA,SIM,#N69 23-Feb-2023 BRA 31372 BRA 31378,I,21309312,2/23/2023 20:18,4/18/2023 02:45,18-Apr-23,NA,NA,NA,NA,NA,17-Apr-23,17-Apr-23,SU,83,1,3,87,SIM,41,53,95.4,Painted. Close to nests rocks and N42. Photo ID Ok. Photo tag Ok. 3 filhotes retidos. *Marcas nas nadadeiras posteriores não foram checadas e a tartaruga foi marcada novamente. F28 é a F35.
135,LEO,CD,23-Feb-23,70,20:00,11,393,-3.86999,-32.4378,F25,NA,NA,NA,NA,BRA 31366,BRA 31367,NA,NA,NA,NA,NA,SIM,#N70 23-Feb-2023 BRA 31366 BRA 31367,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Apr-23,19-Apr-23,SU,65,0,0,65,NAO,NA,54,100,Pintada novamente. Mini barnacle do lado esquerdo da carapaça.
136,LEO,CD,23-Feb-23,71,20:00,10,293,-3.86963,-32.43616,F14,NA,BRA 31361,NA,NA,BRA 31326,NA,BRA 31335,NA,NA,NA,NA,NAO,NA,I,21309340,2/23/2023 21:00,4/18/2023 02:25,18-Apr-23,NA,NA,NA,NA,NA,17-Apr-23,17-Apr-23,SU,123,15,1,139,SIM,40,53,88.49,"Cicatriz de marcas, marca BRA 31361 colocada na axila E. Terceira marca colocada pois não foi vista a marca na nadadeira posterior esquerda. 11 filhotes retidos."
137,LEO,ML,23-Feb-23,NA,NA,10,294,-3.87004,-32.43941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,"Entre 20:15 e 21:30. Unsighted, no término da praia. "
138,LEO,ML,23-Feb-23,NA,22:05,10,295,-3.8702,-32.4393,F36,BRA 31362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,"Cicatriz na nadadeira, marca colocada entre segunda e terceira escama. Rastro até a porção flooding (alagada) ao término da praia."
139,LEO,CD,23-Feb-23,72,22:10,10,296,-3.87014,-32.43911,F15,NA,NA,NA,NA,BRA 31302,BRA 31304,NA,NA,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Apr-23,18-Apr-23,SU,98,0,3,101,NAO,NA,54,97.03,"Repainted. New painted placement. Close to N27 e N65. Very very deep nest, 1 hatchlings stuck in nest."
140,LEO,CD,23-Feb-23,73,22:11,11,394,-3.86974,-32.4369,F8,NA,NA,NA,NA,BRA 31305,BRA 31320,NA,NA,NA,NA,NA,NAO,NA,I,21309334,2/23/2023 23:23,4/19/2023 03:00,19-Apr-23,NA,NA,NA,NA,NA,18-Apr-23,18-Apr-23,SU,97,2,35,134,SIM,40,54,72.39,Pintada novamente. Próximo ao ninho N02 e N49. 
141,LEO,CD,23-Feb-23,74,22:12,11,395,-3.8696,-32.43652,F4,NA,NA,NA,NA,BRA 31313,BRA 31314,NA,NA,NA,NA,NA,NAO,NA,I,21309339,2/24/2023 00:50,4/18/2023 03:36,18-Apr-23,NA,NA,NA,NA,NA,17-Apr-23,17-Apr-23,SU,90,0,0,90,SIM,40,53,100,Pintada novamente. Nest very shallow.
142,LEO,ML,23-Feb-23,NA,02:30,11,396,-3.86977,-32.43617,F37,BRA 31371,BRA 31370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA ,NA,NA,NA,NA,NA,"Robusta. Voltando para o mar, não foi possível realizar os demais procedimentos. "
143,LEO,CD,24-Feb-23,75,21:25,10,298,-3.86994,-32.43765,F16,NA,NA,NA,NA,BRA 31336,NA,NA,BRA 31338,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Apr-23,15-Apr-23,SU,45,0,5,50,NAO,NA,50,90,"Pintada OK; varias camas; tentou escalar a duna; fez cama em cama velha, tirou 4 ovos do ninho #65 e 6 ovos de outro ninho (enterramos em outro buraco); tambem perto do ninho #11."
144,LEO,ML,24-Feb-23,NA,22:50,10,297,-3.86955,-32.43595,F36,NA,NA,NA,NA,BRA 31362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML nas pedras ao inicio da praia. Não foi possível checar a outra tag. 
145,LEO,CD,25-Feb-23,76,04:40,11,397 (I) e 398 (P),-3.86989,-32.43609,F12,BRA 31318,BRA 31319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,NA,P,NA,NA,NA,NA,A,93,0,-3.87018,-32.438,17-Apr-23,17-Apr-23,SU,78,7,6,91,NAO,NA,51,85.71,Painted. Nest laid below the tide line.7 filhotes retidos.
146,LEO,ML,26-Feb-23,NA,21:40,11,399,-3.87003,-32.4396,F18,NA,BRA 31333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML no termino da praia.
147,LEO,CD,26-Feb-23,77,22:00,10,300,-3.86967,-32.43668,F20,NA,NA,NA,NA,BRA 31334,BRA 31359,NA,NA,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,23-Apr-23,24-Apr-23,SU,18,0,40,58,NAO,NA,56,31.03,Pintada novamente; desova rapidimente - Nest deep with lots of pieces of shells and very hummid. Black fungus in all unhatched. 
148,LEO,CD,26-Feb-23,78,22:00,10,299,-3.86999,-32.43755,F6,NA,NA,NA,NA,BR 83237,BRA 31316,NA,NA,NA,NA,NA,SIM,#N78 26-Feb-2023 BR 83237 BRA 31316,I,2164049,2/26/2023 22:42,4/22/2023 03:08,22-Apr-23,NA,NA,NA,NA,NA,21-Apr-23,21-Apr-23,SU,33,0,3,36,SIM,33,54,91.67,Pintada novamente; fotos das marcas OK (check quality da esquerda); cova enorme. 3 ovôs anômalos.
149,LEO,CD,26-Feb-23,79,22:05,11,401,-3.86947,-32.43624,F11,NA,NA,NA,NA,BRA 31306,BRA 15325,NA,NA,NA,NA,NA,SIM,#N79 26-Feb-2023 BRA 31306 BRA 15325,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-23,21-Apr-23,PA,87,1,43,131,NAO,NA,54,66.41,Pintada novamente; ninho na vegetacao. Amphisbaenia inside. Possible PA parcial por teju. 
150,LEO,SD,26-Feb-23,NA,23:00,11,400,-3.86935,-32.43597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsighted; ao inicio da praia com cama na trilha
151,LEO,CD,26-Feb-23,80,23:10,11,403,-3.8694,-32.43566,F17,NA,NA,NA,NA,BRA 31344,BRA 31343,NA,NA,NA,NA,NA,SIM,#N80 26-Feb-2023 BRA 31344 BRA 31343,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-23,21-Apr-23,SU,64,0,4,68,NAO,NA,54,94.12,Pintada novamente; tirou ovos velhos da areia; perto dos ninhos N#51 e N#08.
152,LEO,SD,26-Feb-23,NA,23:15,11,402,-3.86939,-32.4353,F18,NA,NA,NA,NA,BRA 31332,BRA 31333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cova abandonada.
153,LEO,ML,26-Feb-23,NA,23:30,10,301,-3.87,-32.4395,F3,NA,NA,NA,NA,BRA 31321,BRA 31309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML no final da praia.
154,LEO,CD,27-Feb-23,81,20:37,11,404,-3.86968,-32.43657,F18,NA,NA,NA,NA,BRA 31332,BRA 31333,NA,NA,NA,NA,NA,SIM,#N81 27-Feb-2023 BRA 31332 BRA 31333,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-23,21-Apr-23,SU,100,1,1,102,NAO,NA,53,98.04,Pintada novamente.
155,LEO,CD,27-Feb-23,82,22:05,11,405,-3.86987,-32.43763,F5,NA,NA,NA,NA,BRA 21686,BRA 21685,NA,NA,NA,NA,NA,NAO,NA,I,21648031,2/28/2023 00:05,4/24/2023 02:26,24-Apr-23,NA,NA,NA,NA,NA,22-Apr-23,23-Apr-23,SU,74,0,1,75,SIM,40,54,98.67,"Pintada novamente. 1 filhote retido, emergidos entre 4:40 e 7:00."
156,LEO,CD,27-Feb-23,83,23:40,11,406 (I) e 407 (P),-3.87002,-32.43881,F3,NA,NA,NA,NA,BRA 31321,BRA 31309,NA,NA,NA,NA,NA,NAO,NA,P,NA,NA,NA,NA,A,105,0,-3.87013,-32.43799,18-Apr-23,18-Apr-23,SU,98,6,2,106,NA,NA,50,92.45,"Dois ovos anômalos pequenos, sendo um deles com pouca calcificação. Desova na frente da casinha (área com alagamento). Desovou aproximadamente 2:10. 8 filhotes retidos."
157,LEO,SD,27-Feb-23,NA,02:05,11,408,-3.86989,-32.43656,F19,NA,NA,NA,NA,BRA 31337,BRA 31339,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,NA,NA,NA,Duas camas com pedras abaixo da linha da maré. Desceu 5:40.
158,LEO,CD,28-Feb-23,84,20:37,11,409,-3.86954,-32.43625,F36,NA,BRA 31342,NA,NA,BRA 31362,NA,NA,NA,NA,111,101,SIM,#N84 28-Feb-2023 BRA 31362 BRA 31342,I,21639884,2/28/2023 21:43,4/26/2023 21:50,27-Apr-23,NA,NA,NA,NA,NA,25-Apr-23,26-Apr-23,SU,62,0,50,112,SIM ,40,56,55.36,Painted. Photos marcas (tags) ok
159,LEO,CD,28-Feb-23,85,20:37,10,303,-3.86962,-32.43681,F1,NA,NA,NA,NA,BRA 26380,BRA 21602,NA,NA,NA,NA,NA,NAO,NA,I,21309302,3/1/2023 00:07,4/21/2023 04:13,21-Apr-23,NA,NA,NA,NA,NA,20-Apr-23,20-Apr-23,SU,118,4,30,152,SIM,40,51,77.63,Next to N2 - dug out N2 and the HOBO. Knocked over stake N73. Repainted.
160,LEO,CD,28-Feb-23,86,20:37,11,411,-3.86971,-32.43656,F19,NA,NA,NA,NA,BRA 31337,BRA 31339,NA,NA,NA,108,101.5,SIM,#N86 28-Feb-2023 BRA 31337 BRA 31339,I,21639883,3/1/2023 01:00,4/21/2023 23:02,22-Apr-23,NA,NA,NA,NA,NA,21-Apr-23,21-Apr-23,SU,78,13,5,96,SIM,40,52,81.25,Tear in left hind flipper. Close to N81.
161,LEO,ML,28-Feb-23,NA,22:20,11,410,-3.86973,-32.43629,F23,NA,NA,NA,NA,BRA 21670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Came up close to F19 digging an egg chamber. Didn't make it over the bank of rocks.
162,LEO,ML,28-Feb-23,NA,23:27,10,302,-3.86998,-32.43952,F38,BRA 31382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very strong and did not like being tagged. In front of tiny house. Scars between 1st and 2nd scales and ripped out first tag placed between 2nd and 3rd scales.
163,LEO,CD,1-Mar-23,87,23:10,10,304,-3.87,-32.43773,F22,NA,NA,NA,NA,BRA 31340,BRA 31341,NA,NA,NA,NA,NA,NAO,NA,I,21309338,3/1/2023 23:46,4/24/2023 01:34,24-Apr-23,NA,NA,NA,NA,NA,23-Apr-23,23-Apr-23,SU,134,2,4,140,SIM,40,53,95.71,"Pintada novamente, muito rapida - 44 Hatchlings emerged between 01:20 and 01:40. "
164,LEO,ML,1-Mar-23,NA,NA,11,412,-3.86957,-32.43536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unsighted, between 23:00 and 00:20."
165,LEO,CD,1-Mar-23,88,01:50,11,414 (I) e 413 (P) ,-3.87033,-32.43831,F23,NA,NA,NA,NA,BRA 21670,BRA 21625,NA,NA,NA,NA,NA,NAO,NA,P,NA,NA,NA,NA,A,98,0,-3.87013,-32.43812,22-Apr-23,22-Apr-23,SU,73,2,22,97,NAO,NA,52,75.26,Repainted. Nested in front of the tiny house. Relocated
166,LEO,CD,1-Mar-23,89,01:55,10,306,-3.86949,-32.43526,F39,BRA 31383,BRA 31385,NA,NA,NA,NA,NA,NA,NA,102.3,103.1,SIM,#N89 01-Mar-2023 BRA 31383 BRA 31385,I,21639872,3/2/2023 02:47,4/24/2023 04:22,24-Apr-23,NA,NA,NA,NA,NA,23-Apr-23,23-Apr-23,SU,43,0,44,87,SIM,30,53,49.43,"Painted, perto do ninho #77, fotos das marcas ok. 3 abnormal medium eggs. Black fungus inside many of unhatched eggs. Black fungus inside many unhatched eggs. 3 abnormal eggs with stringlike extension. "
167,LEO,ML,1-Mar-23,NA,02:00,10,305,-3.86949,-32.43518,F2,NA,NA,NA,NA,BRA 27873,BRA 31301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inicio da praia, ate o rio, cova com muito agua."
168,LEO,ML,2-Mar-23,NA,NA,10,308,-3.86945,-32.43581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unsighted, entre 20:30 e 21:40."
169,LEO,ML,2-Mar-23,NA,NA,10,307,-3.86984,-32.43649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unsighted, entre 21:40 e 23:00."
170,LEO,ML,2-Mar-23,NA,NA,10,309,-3.86962,-32.43584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unsighted, entre 21:40 e 23:00."
171,LEO,SD,2-Mar-23,NA,23:00,10,312,-3.86951,-32.43716,F21,NA,NA,NA,NA,BRA 31348,BRA 31349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slid down the back of the sand dune, got out by herself."
172,LEO,SD,2-Mar-23,NA,23:00,10,311,-3.86958,-32.43711,F29,NA,NA,NA,NA,BRA 31356,BRA 31357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marca da esquerda na axila; mesmo lugar que SD de F21.
173,LEO,CD,2-Mar-23,90,23:30,10,314,-3.8694,-32.43565,F2,NA,NA,NA,NA,BRA 27873,BRA 31301,NA,NA,NA,NA,NA,NAO,NA,I,21648055,3/3/2023 03:35,4/24/2023 01:59,24-Apr-23,NA,NA,NA,NA,NA,23-Apr-23,23-Apr-23,SU,86,1,10,97,NAO,NA,52,88.66,Pintada novamente; muitas camas com pedras na primera duna da praia. Muitas amphisbaenia inside.
