N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,TURTLE_ID,MARCAS_COL_Esquerda,MARCAS_COL_Direita,MARCAS_COL_Posterior_Esquerda,MARCAS_COL_Posterior_Direita,MARCAS_ENC_Esquerda,MARCAS_ENC_Direita,MARCAS_ENC_Posterior_Esquerda,MARCAS_ENC_Posterior_Direita,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP DOWNLOAD - DATE,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
24,LEO,CD,25-Jan-23,10,23:40,10,237,-3.8694,-32.43531,F8,BRA 31305,BRA 31320,NA,NA,NA,NA,NA,NA,NA,109,98.7,SIM,#N10 25-Jan-2023 BRA 31305 BRA 31320,I,21309324,1/26/2023 01:37,3/19/2023 02:55,20-Mar-23,NA,NA,NA,NA,NA,18-Mar-23,18-Mar-23,SU,89,1,43,133,SIM,40,52,66.92,Pintada. Fotos das marcas ok. 40 emergidos entre 22:20 e 23:20; 15 emergidos entre 00:20 e 1:00.
25,LEO,CD,26-Jan-23,11,20:35,11,325,-3.87,-32.4374,F2,NA,NA,NA,NA,BRA 27873,BRA 31301,NA,NA,NA,NA,NA,SIM,#N11 26-Jan-2023 BRA 27873 BRA 31301,I,21309308,1/26/2023 22:07,3/21/2023 02:23,21-Mar-23,NA,NA,NA,NA,NA,20-Mar-23,20-Mar-23,SU,81,0,0,81,SIM,40,53,100,"Pintada, cova funda - 51 emerged between 20:45 and 22:00 on 20-Mar-2023"
26,LEO,CD,28-Jan-23,12,20:45,11,326,-3.8697,-32.43668,F9,NA,NA,NA,BRA 27913,BR 53375,NA,NA,NA,NA,119,112,SIM,#N12 28-Jan-2023 BR 53375 BRA 27913,I,21309313,1/28/2023 21:20,3/22/2023 01:16,22-Mar-23,NA,NA,1,NA,NA,21-Mar-23,21-Mar-23,SU,61,4,20,86,SIM,40,52,70.93,"Casco sem placas dividads (casco inteiro); barnacle do lado direito, muitas cicatrizes de marcas. 58 emergidos entre 16:30 e 17:30 e 3 retidos."
27,LEO,ML,28-Jan-23,NA,20:47,11,328,-3.86963,-32.43769,F11,BRA 31306,NA,NA,NA,NA,BRA 15325,NA,NA,NA,114,100,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marca BRA 31306 colocada entre a 2 e a 3 escarna. Targaruga caiu no barranco (mais alto proximo a segunda duna) com restringa densa. Tartaruga foi rebocada pela equipe. 
28,LEO,CD,28-Jan-23,13,21:00,11,327,-3.86996,-32.43755,F10,BRA 31307,BRA 31308,NA,NA,NA,NA,NA,NA,NA,105.6,99,SIM,#N13 28-Jan-2023 BRA 31307 BRA 31308,I,21309331,1/28/2023 22:58,3/22/2023 01:50,22-Mar-23,NA,NA,NA,NA,NA,21-Mar-23,21-Mar-23,SU,99,5,17,121,SIM,40,52,81.82,"Pintada na chuva (pintura nao ficou boa), Photo ID na chuva (checar qualidade), Desova proxima ao nino 11, tartaruga derrubou estaca, estaca recolocada; 94 emergidos entre 20:40 e 21:20; 5 retidos"
29,LEO,ML,29-Jan-23,NA,21:13,11,329,-3.87024,-32.43834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML proxima a casinha. Tartaruga entrando na agua. Sem tags.
30,LEO,SD,29-Jan-23,NA,00:50,10,238,-3.8694,-32.43531,F3,NA,NA,NA,NA,BRA 31321,BRA 31309,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
31,LEO,CD,29-Jan-23,14,01:50,10,239 (I) e 240 (P),-3.86986,-32.43657,F12,BRA 31318,BRA 31319,NA,NA,NA,NA,NA,NA,NA,109.4,98.5,SIM,#N14 29-Jan-2023 BRA 31318 BRA 31319,P,21309319,1/30/2023 04:30,3/22/2023 02:20,22-Mar-23,A,84,0,-3.8702,-32.43798,21-Mar-23,21-Mar-23,SU,59,4,22,85,NAO,NA,51,69.41,Pintada. Fotos das marcas ok. 1 ovo anômalo grande. 5 hatchlings retained in nest. 
32,LEO,CD,30-Jan-23,16,20:50,11,333,-3.86968,-32.43664,F4,NA,NA,NA,NA,BRA 31313,BRA 31314,NA,NA,NA,NA,NA,SIM,#N16 30-Jan-2023 BRA 31313 BRA 31314,I,21309344,1/31/2023 03:54,3/21/2023 01:54,21-Mar-23,NA,NA,NA,NA,NA,20-Mar-23,20-Mar-23,SU,54,2,23,79,SIM,40,49,68.35,Pintada. 5 camas. Cova rasa. - 81 hatchlings emerged on 20-Mar-2023 between 20:45 and 22:10
33,LEO,CD,30-Jan-23,15,21:02,11,330 (I) e 331 (P) ,-3.8702,-32.43928,F13,BRA 31328,BRA 31329,NA,NA,NA,NA,NA,NA,NA,110.3,102.2,SIM,#N15 30-Jan-2023 BRA 31328 BRA 31329,P,21309318,1/30/2023 22:22,3/23/2023 23:33,24-Mar-23,A,64,0,-3.87003,-32.4381,23-Mar-23,23-Mar-23,SU,40,3,21,64,SIM,36,52,62.5,"Pintada. Photos das marcas. Desova na porção final da praia, área com alagamento constante. 1 ovo anômalo grande. Emergidos antes de 20:20, provalvelmente 4 filhotes escaparam da tela. "
