mom_nest_combo,dad,hatchling_count,NestTotalHatchCount,propdadcontribute,LowNestSampleSize,,"EA Notes: We are considering a nest with less than 16 hatchlings as nests with too low of samples to detect full paternity. (Flagged as ""Yes"" in column F. "
FDN_F064_S2_N056,pa_89,7,15,0.466666667,Yes,,
FDN_F051_S2_N015,pa_9,5,16,0.3125,No,,
FDN_F056_S2_N092,pa_9,5,10,0.5,Yes,,
FDN_F073_S3_N005,pa_90,7,7,1,Yes,,
FDN_F055_S2_N021,pa_91,23,31,0.741935484,No,,
FDN_F153_S4_N220,pa_92,29,32,0.90625,No,,
FDN_F062_S2_N069,pa_93,8,26,0.307692308,No,,
FDN_F011_S1_N022,pa_94,6,15,0.4,Yes,,
FDN_F018_S1_N080,pa_94,6,29,0.206896552,No,,
FDN_F046_S2_N008,pa_95,14,32,0.4375,No,,
FDN_F157_S4_N195,pa_96,26,32,0.8125,No,,
FDN_F056_S2_N092,pa_97,2,10,0.2,Yes,,
FDN_F053_S2_N017,pa_98,10,15,0.666666667,Yes,,
FDN_F157_S4_N195,pa_98,6,32,0.1875,No,,
FDN_F075_S3_N007,pa_99,2,14,0.142857143,Yes,,
