N_NINHO,N_REGISTRO,PRAIA,TURTLE ID,DATA_OCORR,TIPO_REG,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
NA,49,Leao,NA,9-Feb-21,ML,NA,10,69,-3.87023,-32.4365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 069. Ocorrência entre 20:30 e 21:40.
NA,50,Leao,F1,9-Feb-21,ML,00:22,11,69,-3.86981,-32.43735,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 069 - F1.
NA,54,Leao,F2,10-Feb-21,ML,23:21,10,71,-3.87062,-32.43849,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 071 - F2.
NA,57,Leao,F13,11-Feb-21,ML,02:10,11,74,-3.87068,-32.43852,BRA 27915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 074. Tartaruga entrando na agua.
NA,60,Leao,F14,14-Feb-21,ML,21:36,10,76,-3.87029,-32.43798,NA,NA,BRA 27937,BRA 27938,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 076 - F14.
NA,63,Leao,NA,17-Feb-21,ML,NA,11,77,-3.86941,-32.43516,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 077. Ocorrência antes das 20:00.
NA,65,Leao,F11,17-Feb-21,ML,00:10,11,80,-3.8699,-32.43768,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 080 - F11 (estava pintada do lado direito). F11 (BRA 27923/ BRA 27924) marcas não conferidas, tartaruga entrando na água. "
NA,66,Leao,F10,17-Feb-21,ML,00:11,11,79,-3.87002,-32.43713,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 079 - F10 (BRA 06231/ BR 77094) marcas não conferidas, tartaruga entrando na água.  "
NA,67,Leao,NA,17-Feb-21,ML,NA,11,81,-3.87041,-32.43801,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 081. Ocorrência entre 00:20 e 1:20.
NA,68,Leao,NA,17-Feb-21,ML,NA,11,82,-3.87039,-32.4381,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 082. Ocorrência entre 00:20 e 1:20
NA,70,Leao,NA,18-Feb-21,ML,NA,10,79,-3.86945,-32.4353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 079. Ocorrência entre 21:20 e 22:40.
NA,71,Leao,NA,18-Feb-21,ML,NA,10,80,-3.86945,-32.43514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 080. Ocorrência entre 21:20 e 22:40.
NA,73,Leao,NA,19-Feb-21,ML,NA,10,82,-3.86951,-32.43501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 082. Ocorrência antes das 20:47.
NA,82,Leao,NA,21-Feb-21,ML,NA,11,91,-3.87015,-32.43768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 091. ML entre 21:30 e 22:40.
