N_NINHO,N_REGISTRO,PRAIA,TURTLE ID,DATA_OCORR,TIPO_REG,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
3,6,Leao,NA,29-Dec-20,CD,NA,11,6,-3.86932,-32.43627,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,16-Feb-21,17-Feb-21,SU,53,7,45,105,NAO,,49,50.5,GPS 11 - 6.
4,8,Leao,NA,3-Jan-21,CD,NA,11,8,-3.86946,-32.43654,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Feb-21,19-Feb-21,SU,50,3,17,68,SIM - 48 filhotes,48,47,73.5,GPS 11 - 8. Fêmea desconhecida (não flagrada). 1 ovo anômalo. 2 filhotes morreram após a abertura do ninho. Ninho coletado para teste. 
5,12,Leao,F1,15-Jan-21,CD,19:50,11,36,-3.86957,-32.43716,NA,NA,BR 83209,BRA 21740,NA,105,97,SIM,#5-15/01/21 BR 83209/ BRA 21740,I,896711,1/15/2021 22:21,3/4/2021 00:59,NA,NA,NA,NA,NA,2-Mar-21,3-Mar-21,SU,32,6,72,110,SIM - 32 filhotes,32,46,29.1,"GPS 11 - 036 - F1. Foto ID ok. Na noite do dia 2-Mar-21 foi encontrado um único filhote às 3:30; liberado ao mar. No dia 3-Mar-21, três filhotes emergiram às 00:59 e os demais vivos que estavam próximo a superficie foram coletados para amostragem.  "
6,13,Leao,F2,16-Jan-21,CD,20:30,10,52,-3.87003,-32.43782,BRA 27902,NA,BR 38662,NA,NA,119.5,113,SIM,#6- 16/01/21 BRA 27902/ BR 38662,I,895562,1/16/2021 21:12,3/7/2021 21:15,NA,NA,NA,NA,NA,5-Mar-21,7-Mar-21,SU,66,23,14,103,SIM - 66 filhotes,66,48,64.1,"GPS 10 - 052 - F2. Foto ID ok. 2 filhotes emergidos e coletados no dia 5-Mar-21, 42 filhotes emergidos dia 7-Mar-21 e 22 filhotes retidos.  "
7,14,Leao,NA,17-Jan-21,CD,NA,11,NEST 7,-3.86951,-32.43615,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,8-Mar-21,9-Mar-21,SU,57,5,44,106,NA,,50,53.8,GPS 11 - NEST 7. Ocorrência após às 3:10. 1 ovo anomalo  pequeno e 1 filhote encontrado morto na vegetacao (seco). Ninho com muitas raizes que envolviam a parte exterior dos ovos nao eclodidos
8,16,Leao,F3,22-Jan-21,CD,21:30,11,38,-3.86967,-32.43651,NA,NA,BR 67305,BRA 27905,NA,106,104,SIM,#8-22/01/21 BR 67305/ BRA 27905,I,896725,1/22/2021 23:06,3/12/2021 20:38,NA,NA,NA,NA,NA,12-Mar-21,12-Mar-21,SU,48,17,21,86,SIM - 47 filhotes,47,49,55.8,GPS 11 - 038 - F3. Foto ID ok. Marca BR 67305 na nadadeira posterior esquerda e BRA 27905 na nadadeira anterior esquerda.  
9,18,Leao,F4,25-Jan-21,CD,22:40,11,39,-3.86998,-32.43784,BRA 27908,BRA 27909,NA,NA,NA,108.5,95.5,SIM,#9-25/01/21 BRA 27908/ BRA 27909,I,880878,1/25/2021 22:58,3/15/2021 23:05,NA,NA,NA,NA,NA,13-Mar-21,15-Mar-21,SU,44,1,3,48,SIM - 43 filhotes,43,47,91.7,"GPS 11 - 039 - F4. Foto ID ok. 1 filhote emergido e coletado dia 13-Mar-21, 41 filhotes emergidos e coletados dia 15-Mar-21 e 1 filhote retido e coletado dia 15-Mar-21.  "
10,19,Leao,F5,26-Jan-21,CD,20:23,10,54,-3.86984,-32.43725,NA,NA,BRA 27906,BRA 27907,NA,110,101.5,SIM,#10- 25/01/21- BRA 27907/ BRA 27906,I,896705,1/26/2021 20:23,3/16/2021 20:58,NA,NA,NA,NA,NA,15-Mar-21,16-Mar-21,SU,24,4,44,72,NAO,,48,33.3,"GPS 10 - 054 - F5. Foto ID ok. No dia 10-Mar-21 foi procurado o ninho para ser telado e os ovos nao foram encontrados. Tiny Tag foi encontrado bem na superficie e ficou fora das 00:13 as 1:15. Durante a abertura do ninho foi encontrado um outro ninho bem proximo, provavelmente o ninho 42. O tiny tag nao estava dentro do ninho."
11,20,Leao,F6,26-Jan-21,CD,20:16,10,55,-3.86971,-32.43679,BRA 27903,BRA 27904,NA,NA,BRA 06140,108,103.8,SIM,#11 - 26/01/21 - BRA 27903/ BRA 27904,I,881571,1/26/2021 21:49,3/16/2021 02:10,NA,NA,NA,NA,NA,15-Mar-21,15-Mar-21,SU,76,4,21,101,SIM - 76 fihotes,76,48,75.2,GPS 10 - 055 - F6. Foto ID ok. Marca BRA 27903 colocada entre a segunda e terceira escama da nadadeira esquerda e marca BRA 27904 colocada na axila da nadadeira direita.
12,24,Leao,F1,28-Jan-21,CD,19:50,11,NEST 12,-3.86978,-32.43731,NA,NA,BRA 21740,BR 83209,NA,104,96.5,NAO,NA,I,896702,1/28/2021 21:19,3/20/2021 22:41,NA,NA,NA,NA,NA,18-Mar-21,20-Mar-21,SU,104,4,10,118,NAO,,49,88.1,GPS 11 - 043 - F1.
13,27,Leao,F2,29-Jan-21,CD,20:05,10,58,-3.8699,-32.43738,NA,NA,BRA 38662,BRA 27902,NA,NA,NA,NAO,NA,I,896721,1/29/2021 21:15,3/19/2021 21:13,NA,NA,NA,NA,NA,18-Mar-21,19-Mar-21,SU,107,4,7,118,NAO,,48,90.7,GPS 10 - 058 - F2.
14,28,Leao,F7,29-Jan-21,CD,19:59,10,59,-3.86948,-32.43653,BRA 27917,BRA 27918,NA,NA,NA,103.4,96.96,SIM,#14- 29/01/21- BRA 27917/ BRA 27918,I,896718,1/29/2021 21:29,3/20/2021 21:05,NA,NA,NA,NA,NA,19-Mar-21,20-Mar-21,SU,91,0,3,94,SIM -  91 filhotes,91,49,96.8,"GPS 10 - 059 - F7 - Foto ID ok. 2 ovos anômalos. 83 filhotes emergidos dia 19-Mar-21, 1 filhote emergido dia 20-Mar-21 e 7 retidos. "
15,30,Leao,F8,1-Feb-21,CD,20:18,10,60,-3.86977,-32.43766,BRA 27901,BRA 27927,NA,NA,NA,105.2,99,SIM,#15- 01/02/21-BRA 27901/ BRA 27927,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Mar-21,23-Mar-21,SU,51,9,4,64,SIM - 52 filhotes,52,49,79.7,"GPS 10 - 060 - F8. Sem Tiny Tag pois a tartaruga foi flagrada no final da desova, foi colocao uma planta na direcao da cloaca."
16,37,Leao,F9,6-Feb-21,CD,00:15,10,65,-3.86943,-32.43567,NA,NA,BRA 27931,BRA 27925,NA,110.6,97.5,SIM,#16- 06/02/21- BRA 27925/ BRA 27931,I,896720,2/7/2021 01:06,3/28/2021 00:20,NA,NA,NA,NA,NA,26-Mar-21,27-Mar-21,SU,87,2,4,93,SIM - 32 filhotes,32,48,93.5,GPS 10 - 065 - F9. 1 ovo anômalo pequeno. 
17,40,Leao,F11,6-Feb-21,CD,01:37,10,66,-3.87001,-32.43802,NA,NA,BRA 27923,BRA 27924,NA,103.5,98.7,SIM,#17- 06/02/21- BRA 27923/ BRA 27924,I,895561,2/7/2021 03:42,3/27/2021 22:05,NA,NA,NA,NA,NA,26-Mar-21,27-Mar-21,SU,70,2,23,95,SIM - 32 filhotes,32,48,73.7,GPS 10 - 066 - F11.
18,42,Leao,F10,7-Feb-21,CD,21:37,10,67,-3.86997,-32.4376,NA,NA,BRA 77094,BRA 06231,NA,118.5,108.2,SIM,#18-07/02/21- BRA 06231/ BR 77094,I,896717,2/7/2021 22:29,3/27/2021 22:40,NA,NA,NA,NA,NA,25-Mar-21,27-Mar-21,SU,71,5,39,115,SIM - 34 filhotes ,34,46,61.7,GPS 10 - 067 - F10. 18 filhotes emergidos dia 25-Mar-2021 e o restante dos filhotes emergidos dia 26-Mar-21.
19,44,Leao,F4,7-Feb-21,CD,01:20,11,65,-3.87,-32.43803,NA,NA,BRA 27908,BRA 27909,NA,108.5,95,SIM,#19 - 07/02/21 - BRA 27908/ BRA 27909,I,896699,2/8/2021 02:32,3/30/2021 21:49,NA,NA,NA,NA,NA,29-Mar-21,30-Mar-21,SU,73,0,6,79,NAO,,50,92.4,GPS 11 - 065 - F4. 1 ovo anomalo pequeno.
20,45,Leao,F5,7-Feb-21,CD,02:59,10,68,-3.86984,-32.43713,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-Mar-21,26-Mar-21,SU,77,8,9,94,SIM - 34 filhotes ,34,45,81.9,"GPS 10 - 068 - F5. 2 filhotes emergidos dia 24-Mar-21 (não amostrado), 2 filhotes emergidos 25-Mar-21 e o restante dos filhotes emergidos dia 26-Mar-21."
21,46,Leao,F12,8-Feb-21,CD,03:00,11,66,-3.87004,-32.438,BRA 27932,BRA 27934,NA,NA,NA,103,93.2,SIM,#21 - 08/02/21 - BRA 27932/ BRA 27934,I,881575,2/9/2021 04:13,3/31/2021 00:20,NA,NA,NA,NA,NA,26-Mar-21,30-Mar-21,SU,72,23,8,103,SIM - 58 filhotes,58,46,69.9,"GPS 11 - 066 - F12. 1 filhote emergido dia 26-Mar-2021, 2 filhotes emergidos 26-Mar por volta das 11:00 da manhã (um guarda parque da Econoronha avisou que havia filhotes no ninho), 35 filhotes emergidos dia 29-Mar-2021 e 20 retidos.  "
22,52,Leao,F1,10-Feb-21,CD,20:10,10,70,-3.8696,-32.43648,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,I,896722,2/10/2021 21:03,4/2/2021 20:50,NA,NA,NA,NA,NA,1-Apr-21,2-Apr-21,SU,84,31,12,127,SIM - 32 filhotes,32,50,66.1,GPS 10 - 070 - F1.
23,53,Leao,F6,10-Feb-21,CD,20:20,11,72 (I) e 73 (P),-3.87029,-32.43887,NA,NA,BRA 27903,BRA 27904,NA,NA,NA,NAO,NA,P,NA,NA,NA,NA,91,0,-3.87001,-32.438,3-Apr-21,4-Apr-21,SU,67,2,21,90,NAO,,52,74.4,GPS 11 - 072 (I) e 073 (P) - F6. 3 ovos anômalos. Transferido por estar em aréa com perigo de inundação. Desovou na porção final da praia. 
24,55,Leao,F2,11-Feb-21,CD,20:20,10,72,-3.8698,-32.43704,NA,NA,BRA 27902,BR 38662,NA,NA,NA,SIM,#24-11/02/21- BRA 27902/ BR 38662,I,896694,2/11/2021 21:15,4/2/2021 23:19,NA,NA,NA,NA,NA,1-Apr-21,2-Apr-21,SU,75,31,10,116,SIM - 32 filhotes,32,49,64.7,GPS 10 - 072 - F2.
25,58,Leao,F7,11-Feb-21,CD,03:04,10,74,-3.86953,-32.43636,NA,NA,BRA 27917,BRA 27918,NA,NA,NA,SIM,#25- 11/02/21- BRA 27917/ BRA 27918,I,896701,2/12/2021 04:17, 10-Apr-2021 01:01,NA,NA,NA,NA,NA,NA,9-Apr-21,SU,88,0,10,98,NAO,,,,GPS 10 - 074 - F7.
26,61,Leao,F3,16-Feb-21,CD,20:23,10,77,-3.87011,-32.43732,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,896712,2/16/2021 22:42,4/10/2021 02:17,NA,NA,NA,NA,NA,NA,9-Apr-21,SU,95,0,5,100,NAO,,,,GPS 10 - 077 - F3 (esmalte retocado).
27,62,Leao,F15,16-Feb-21,CD,23:53,11,75 (I) e 76 (P),-3.87026,-32.43882,BRA 27940,BRA 27941,NA,NA,NA,101.2,94.1,SIM,16/02/21- BRA 27940/BRA 27941,P,NA,NA,NA,A,76,0,-3.87006,-32.43785,9-Apr-21,10-Apr-21,SU,36,0,28,64,NAO,,52,56.3,GPS 11 - 075 (I) e 076 (P) - F15. Marca BRA 27941 colocada na axila nad direita. Transferido por estar em aréa com perigo de inundação pelo segundo rio temporário que se forma com a chuva.  
28,69,Leao,F5,18-Feb-21,CD,20:09,10,78,-3.86971,-32.43707,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,896691,2/18/2021 21:25,4/10/2021 00:55,NA,NA,NA,NA,NA,9-Apr-21,9-Apr-21,SU,92,1,10,103,SIM - 92 filhotes,92,50,89.3,GPS 10 - 078 - F5 (esmalte retocado).
29,72,Leao,F9,18-Feb-21,CD,22:52,10,81,-3.8698,-32.43716,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,SIM,#29-18/02/21- BRA 27925/BRA 27931,I,NA,NA,NA,NA,NA,NA,NA,NA,10-Apr-21,11-Apr-21,SU,94,3,3,100,NAO,,51,94,GPS 10 - 081 - F9 (esmalte retocado).
30,74,Leao,F14,19-Feb-21,CD,20:50,11,86,-3.869465,-32.435553,NA,NA,BRA 27937,BRA 27938,NA,110.5,104.5,SIM,#30-19/02/21 - BRA 27937/BRA 27938,I,NA,NA,NA,NA,NA,NA,NA,NA,10-Apr-21,10-Apr-21,SU,81,2,30,113,SIM - 55 filhotes,55,50,71.7,GPS 11 - 086 - F14. Foto ID ok
31,75,Leao,F10,19-Feb-21,CD,20:55,10,83,-3.86987,-32.43769,NA,NA,BR 77094,BRA 06231,NA,NA,NA,SIM,#31-19/02/21 - BR 77094/BRA 06231,I,NA,NA,NA,NA,NA,NA,NA,NA,11-Apr-21,12-Apr-21,SU,67,4,53,124,NAO,,51,54,GPS 10 - 083 - F10 - Esmalte retocado. BR 77094 nadadeira posterior direita
32,76,Leao,F16,19-Feb-21,CD,20:56,11,85,-3.870128,-32.438063,NA,NA,BRA 27942,BRA 27943,NA,106.8,100,SIM,#32-19/02/21 - BRA 27942/BRA 27943,I,NA,NA,NA,NA,NA,NA,NA,NA,11-Apr-21,NA,NA,NA,NA,NA,NA,NAO,,,,"GPS 11 - 085 - F16 - Pintada. Estaca perdida, o ninho não foi encontrado para abertura. "
33,77,Leao,F17,19-Feb-21,CD,22:22,11,87 (I) e 88 (P),-3.87022,-32.43863,BRA 27949,BRA 27951,NA,NA,NA,102.5,96.5,SIM,#33-19/02/21 - BRA 27949/ BRA 27951,P,NA,NA,NA,A,103,0,-3.87009,-32.43806,11-Apr-21,12-Apr-21,SU,49,6,48,103,NAO,,51,47.6,GPS 11 - 087 e 088 (destino) - F17 - Pintada. Grande cicatriz na nadadeira posterior esquerda (foto). Foto ID ok. Transferido por estar em aréa com perigo de inundação pelo segundo rio temporário que se forma com a chuva (próximo da casinha).  
34,78,Leao,F4,19-Feb-21,CD,21:50,11,89,-3.86999,-32.43799,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,9-Apr-21,12-Apr-21,SU,64,0,3,67,SIM - 34 filhotes ,34,49,95.5,"GPS 11 - 089 - F4 (esmalte retocado). Derrubou e enterrou a estaca 23, estaca recolocada no lugar. 1 ovo anômalo pequeno. 1 filhote emergido dia 09-Apr-2021, 1 filhote emergido dia 10-Apr-2021 e os demais emergidos dia 12-Apr-2021. "
35,79,Leao,F12,20-Feb-21,CD,00:15,11,90,-3.86956,-32.43612,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,SIM,#35-20/02/21- BRA 27932/BRA 27934,I,NA,NA,NA,NA,NA,NA,NA,NA,10-Apr-21,11-Apr-21,SU,81,3,10,94,NAO,,49,86.2,GPS 11- 090 Esmalte retocado (F12) ninho marcado com uma salsa enrolada na estaca)
36,80,Leao,F11,20-Feb-21,CD,02:07,10,84,-3.86993,-32.43755,NA,NA,BRA 27923,BRA 27924,NA,NA,NA,SIM,#36-20/02/21- BRA 27923/BRA 27924,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Apr-21,SU,90,0,16,106,NAO,,,,GPS 10- 084 - Esmalte retocado (F11)
37,81,Leao,F13,21-Feb-21,CD,21:23,10,85,-3.87009,-32.43809,BRA 27948,NA,BRA 27915,NA,NA,107.7,103,SIM,#37-21/02/2021 - BRA 27915/BRA 27948,I,NA,NA,NA,NA,NA,NA,NA,NA,13-Apr-21,14-Apr-21,SU,55,4,38,97,SIM - 51 filhotes,51,51,56.7,GPS 10 - 085 - F13. Cicatriz na nadadeira posterior direita (foto). Parte acima do olho direito solto.
38,85,Leao,F6,21-Feb-21,CD,01:54,10,88,-3.87002,-32.43798,NA,NA,BRA 27903,BRA 27904,NA,NA,NA,SIM,#38-21/02/21 - BRA 27903/BRA 27904,I,NA,NA,NA,NA,NA,NA,NA,NA,16-Apr-21,16-Apr-21,SU,33,5,54,92,SIM - 32 filhotes,32,54,35.9,GPS 10 - 088 - F6 (pintura retocada no casco). Ninho com muitas raizes. 1 ovo anômalo pequeno. 
39,88,Leao,F1,22-Feb-21,CD,21:27,10,89,-3.86985,-32.43735,NA,NA,BRA 21740,BR 83209,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,14-Apr-21,15-Apr-21,SU,99,19,12,130,NAO,,51,76.2,GPS 10 - 089 - F1 (esmalte retocado).
40,89,Leao,F2,22-Feb-21,CD,01:35,11,94,-3.86974,-32.43667,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,14-Apr-21,15-Apr-21,SU,110,0,4,114,NAO,,51,96.5,GPS 11-094 F2(esmalte retocado)
41,90,Leao,F7,22-Feb-21,CD,03:15,11,95,-3.86963,-32.43628,NA,NA,BRA 27917,BRA 27918,NA,NA,NA,SIM,#41-22/02/21 - BRA 27917/BRA 27918,I,NA,NA,NA,NA,NA,NA,NA,NA,11-Apr-21,12-Apr-21,SU,85,14,9,108,SIM - 32 filhotes,32,48,78.7,GPS 11 - 095 - F7 (esmalte retocado).
42,91,Leao,F18,22-Feb-21,CD,05:20,11,96,-3.86984,-32.43726,BRA 27952,BRA 27954,NA,NA,NA,101.5,90,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-Apr-21,14-Apr-21,SU,65,2,13,80,NAO,,50,81.3,"GPS11-096 F18 Derrubou estaca 10, estaca recolocada"
43,94,Leao,F19,24-Feb-21,CD,20:07,10,90,-3.86982,-32.43711,BRA 27936,NA,BRA 06201,NA,NA,113.4,106.3,SIM,#43 - 24/02/21 - BRA 27936/BRA 06201,I,NA,NA,NA,NA,NA,NA,NA,NA,14-Apr-21,15-Apr-21,SU,82,1,24,107,SIM - 82 filhotes,82,49,76.6,GPS 10 - 090 - F19 (pintada) - Foto ID  ok
44,98,Leao,F5,28-Feb-21,CD,20:06,11,101,-3.87003,-32.43792,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Apr-21,20-Apr-21,SU,90,0,3,93,NAO,,50,96.8,GPS 11- 101 Esmalte retocado F5
46,99,Leao,F3,28-Feb-21,CD,20:52,11,102,-3.86986,-32.43725,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,17-Apr-21,18-Apr-21,SU,91,8,6,105,SIM - 32 filhotes,32,48,86.7,GPS 11- 102 - F3 (esmalte retocao).
45,100,Leao,F21,28-Feb-21,CD,21:06,10,92,-3.86992,-32.43716,BRA 27945,BRA 27946,NA,NA,NA,107.6,103.3,SIM,#45-28/02/21-BRA 27945/ BRA 27946,I,NA,NA,NA,NA,NA,NA,NA,NA,20-Apr-21,21-Apr-21,SU,54,1,53,108,SIM - 53 filhotes,53,51,50,GPS 10 - 092-  F21 (pintada) Foto ID ok. Calombro na parte direita do rosto (foto).
47,103,Leao,F10,1-Mar-21,CD,20:40,10,94,-3.86989,-32.43771,NA,NA,BRA 06231,BR 77094,NA,NA,NA,NAO,NA,I,502127,3/1/2021 21:35,4/21/2021 00:16,NA,NA,NA,NA,NA,20-Apr-21,20-Apr-21,SU,78,1,40,119,SIM - 78 filhotes,78,50,65.5,GPS 10 - 094 - F10 (esmalte retocado).
49,108,Leao,F15,2-Mar-21,CD,20:30,11,107,-3.86988,-32.43736,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,SIM,#49 02/03/21 BRA 27940/BRA 27941,I,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-21,21-Apr-21,PA,44,1,38,83,SIM - 3 filhotes,,,,GPS 11 - 107 - F15  (esmalte retocado). Ninho predado por teju. Emergiram 3 filhotes que foram amostrados e a na abertura foram encontrado apenas mais 8. Como o ninho estava telado possivelmente o teju pode ter predado os outros filhotes.
48,109,Leao,F22,2-Mar-21,CD,21:17,11,106,-3.8697,-32.4367,BRA 27959,NA,BRA 21700,NA,BRA 21763,113.5,109,SIM,#48 02/03/21 BRA 27959 BRA 21700,I,502126,3/2/2021 21:39,4/24/2021 02:47,NA,NA,NA,NA,NA,21-Apr-21,23-Apr-21,SU,20,1,47,68,SIM - 20 filhotes,20,50,29.4,"GPS 11 - 106 - F22 (pintada). Foto ID ok. 1 filhote emergido aparentemente predado por carangueijo dia 21-Apr-2021, 17 emergidos dia 23-Apr-2021 e 2 retidos."
51,110,Leao,F14,2-Mar-21,CD,21:25,11,108,-3.86956,-32.43602,NA,NA,BRA 27937,BRA 27938,NA,NA,NA,SIM,#51 02/03/21 BRA 27937 BRA 27938,I,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-21,22-Apr-21,SU,75,13,23,111,SIM - 75 filhotes,75,50,67.6,GPS 11 - 108 - F14 (esmalte retocado). Marca BRA 27937 na escama nad direita.
50,115,Leao,F4,3-Mar-21,CD,20:04,10,95,-3.86994,-32.43778,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-Apr-21,24-Apr-21,SU,64,0,6,70,NAO,,52,91.4,GPS 10 - 095 - F4 (esmalte retocado)
52,116,Leao,F17,3-Mar-21,CD,21:15,11,115,-3.86956,-32.4369,NA,NA,BRA 27949,BRA 27951,NA,NA,NA,SIM,#52 03/03/21 BRA 27949/ BRA 27951,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Apr-21,21-Apr-21,SU,65,4,23,92,SIM - 64 filhotes,64,47,70.7,"GPS 11 - 115 - F17 (esmalte retocado). Lesão cicatrizada na nadadeira posterior esquerda. 19 filhotes emergidos dia 19-Apr-2021, 7 filhotes a ""um palmo"" da superficie coletados dia 19-Apr-2021 e 38 filhotes retidos, coletados na abertura dia 21-Apr-2021.  "
53,118,Leao,F20,3-Mar-21,CD,23:34,10,97,-3.86972,-32.43671,NA,NA,BRA 27957,BRA 27958,NA,107.2,103,SIM,#53 03/03/21 BRA 27957/ BRA 27958,I,502117,3/4/2021 00:32,4/22/2021 20:31,NA,NA,NA,NA,NA,21-Apr-21,22-Apr-21,SU,62,7,37,106,SIM - 60 filhotes,60,49,58.5,GPS 10 - 097 - F20 (pintada).
54,119,Leao,F9,3-Mar-21,CD,23:43,10,98,-3.86972,-32.43683,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,20-Apr-21,20-Apr-21,SU,103,4,3,110,SIM - 32 filhotes,32,48,93.6,GPS 10 - 098 - F9 (esmalte retocado).
55,120,Leao,F12,4-Mar-21,CD,20:03,10,99,-3.86963,-32.43653,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-Apr-21,PA,70,0,1,71,NAO,,,,GPS 10 - 099 - F12 (esmalte retocado). Ninho estava telado e foi predado por teju que cavou e arrancou a tela. Nenhum filhote encontrado na abertura.
56,121,Leao,F16,4-Mar-21,CD,20:11,11,116,-3.87002,-32.43786,NA,NA,BRA 27942,BRA 27943,NA,NA,NA,SIM,#56 04/03/21 BRA 27942/ BRA 27943,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Apr-21,23-Apr-21,SU,84,0,11,95,SIM - 84 filhotes,84,49,88.4,GPS 11 - 116 - F16 (esmalte retocado).
57,122,Leao,F11,4-Mar-21,CD,20:10,11,117,-3.86988,-32.4377,BRA 27960,NA,BRA 27924,NA,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Apr-21,22-Apr-21,SU,87,1,26,120,SIM - 86 filhotes,86,49,72.5,GPS 11 - 117 - F11 (pintada novamente do lado esquerdo). Perdeu 1 marca marca BRA 27923 da nadadeira esquerda.  
58,124,Leao,F7,4-Mar-21,CD,03:35,11,118,-3.87003,-32.43791,NA,NA,BRA 27917,BRA 27918,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-Apr-21,25-Apr-21,SU,99,1,14,114,SIM - 32 filhotes,32,51,86.8,GPS 11 - 118 - F7 (esmalte retocado).
59,125,Leao,F6,5-Mar-21,CD,20:06,10,101,-3.86966,-32.43698,NA,NA,BRA 27903,BRA 27904,NA,108.2,103.8,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,23-Apr-21,24-Apr-21,SU,87,2,6,95,NAO,,49,91.6,GPS10- 101 F6 Esmalte retocado. 1 Ovo anomalo pequeno
60,126,Leao,F2,5-Mar-21,CD,20:10,11,120,-3.87,-32.4377,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,I,896711,3/5/2021 20:50,4/23/2021 20:52,NA,NA,NA,NA,NA,21-Apr-21,23-Apr-21,SU,126,1,13,140,NAO,,47,90,GPS 11 - 120 - F2 (pintada novamente lado esquerdo).
61,128,Leao,F1,6-Mar-21,CD,18:40,10,102,-3.86974,-32.43677,NA,NA,BRA 21740,BR 83209 ,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-Apr-21,24-Apr-21,SU,103,5,27,135,SIM - 96 filhotes,96,49,76.3,GPS 10 - 102 - F1 (esmalte retocado).
62,129,Leao,F8,6-Mar-21,CD,20:19,10,103,-3.86992,-32.43776,NA,NA,BRA 27962,BRA 27901,NA,NA,NA,SIM,#62 06/03/31 BRA 27962/ BRA27901,I,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-21,23-Apr-21,SU,60,1,23,84,SIM - 33 filhotes,33,46,71.4,GPS 10 - 103 - F8 (esmalte retocado). 1 filhote emergido dia 21-Apr-2021 e o restante dos filhotes emergidos dia 23-Apr-2021.
63,130,Leao,F18,7-Mar-21,CD,21:15,11,122,-3.8698,-32.43705,NA,NA,BRA 27952,BRA 27954,NA,101,90,SIM,#63 07/03/21 BRA 27952/BRA 27954,I,NA,NA,NA,NA,NA,NA,NA,NA,25-Apr-21,25-Apr-21,SU,72,0,13,85,SIM - 72 filhotes,72,49,84.7,"GPS 11 - 122 - F18 (pintada). Ninho marcado temporariamente com a estaca 177,  estaca foi substituida pela 63."
64,131,Leao,F19,7-Mar-21,CD,21:21,10,104,-3.8695,-32.43597,NA,NA,BRA 06201,BRA 27936,NA,NA,NA,SIM,#64 07/03/21 BRA 06201/ BRA 27936,I,NA,NA,NA,NA,NA,NA,NA,NA,26-Apr-21,26-Apr-21,SU,93,1,22,116,NAO,,50,80.2,GPS 10 -104 - F19 (esmalte retocado).
