N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
31,Leao,CD,18-Jan-20,26,21:56,10,N26,-3.8696,-32.43637,NA,NA,BR 20516,BR 20517,NA,124.9,109,SIM,#26 - 18/01/20 - BR20516/ BR20517,I,896718,1/19/2020 00:46,3/8/2020 22:30,NA,NA,NA,NA,NA,8-Mar-20,8-Mar-20,SU,101,13,18,132,50,NAO,"GPS 10 - N26. As 23:20 ela cavou o ninho 23 e estourou um ovo e retirou seis ovos, colocados de volta. Ela desistiu dessa camara e foi fazer nova cama. "
32,Leao,CD,19-Jan-20,27,23:24,11,N27,-3.86942,-32.4356,NA,NA,BR 38657,BR 38683,NA,108.6,102.9,SIM,#27-19/01/20-BR38657/ BR38683,I,896712,1/20/2020 00:51,3/11/2020 22:00,NA,NA,NA,NA,NA,10-Mar-20,11-Mar-20,SU,114,10,4,128,51,SIM - 32 filhotes,GPS 11 - N27. Casio na nadadeira anterior direita.
33,Leao,ML,19-Jan-20,NA,01:45,NA,NA,NA,NA,NA,NA,BRA 21610,BR 83334,NA,110.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tartaruga descendo.
34,Leao,ML,19-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 22:25 e 23:25.
35,Leao,ML,20-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes das 20:30.
36,Leao,CD,20-Jan-20,28,01:40,11,N28,-3.87,-32.43806,NA,NA,BR 83334,BRA 21610,NA,111.3,109.1,SIM,#28-20/01/20-BR83334/ BRA21610,I,NA,NA,NA,NA,NA,NA,NA,NA,11-Mar-20,13-Mar-20,SU,47,4,14,65,51,NAO,GPS 11 - N28.
37,Leao,ML,20-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 3:10  e 4:10.
38,Leao,CD,22-Jan-20,29,20:30,10,N29,-3.86947,-32.4365,BRA 21641,BRA 21632,NA,NA,NA,105,98,SIM,#29-22/01/20-BRA21641/ BRA21632,I,NA,NA,NA,NA,NA,NA,NA,NA,12-Mar-20,14-Mar-20,SU,95,1,5,101,50,SIM - 93 filhotes,GPS 10 - N29. Cicatriz de marca na nadadeira anterior direita.
39,Leao,ML,24-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
40,Leao,CD,24-Jan-20,30,20:20,11,N30 (I) e N30 (P),-3.86944,-32.4357,NA,NA,BR 26380,BRA 21602,NA,110.8,104.8,SIM,#30-24/01/20-BR26380/ BRA21602,P,NA,NA,NA,A,151,0,-3.86941,-32.43566,10-Mar-20,13-Mar-20,SU,99,19,33,151,46,NAO,GPS 11 - N30. Transferencia por risco de inundacao.
