N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
164,Leao,ML,22-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
165,Leao,ML,22-Feb-20,NA,20:29,NA,NA,NA,NA,NA,NA,BRA 21646,BRA 21659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
166,Leao,SD,22-Feb-20,NA,20:33,NA,NA,NA,NA,NA,NA,BRA 21671,BRA 21672,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
167,Leao,CD,23-Feb-20,85,20:20,11,N85,-3.86975,-32.43682,NA,NA,BRA 21613,BRA 21626,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS11 - N85.
168,Leao,CD,23-Feb-20,87,20:27,11,N87,-3.86975,-32.43764,NA,NA,BRA 21607,BRA 21608,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - N87.
169,Leao,CD,23-Feb-20,86,20:30,11,N86,-3.87002,-32.43784,NA,NA,BR 83329,BRA 21627,NA,NA,NA,NAO,NA,I,896699,2/23/2020 20:57,5/27/2020 08:00,NA,NA,NA,NA,NA,NA,27-May-20,NM,NA,NA,NA,NA,NA,NAO,GPS 11 - N86. Tiny Tag removed by TAMAR.
170,Leao,ML,23-Feb-20,NA,00:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
171,Leao,CD,23-Feb-20,88,02:50,11,N88,-3.86998,-32.43774,NA,NA,BRA 21649,BRA 21650,NA,NA,NA,SIM,#88-23/02/20- BRA 21649/ BRA 21650,I,895561,2/24/2020 03:11,5/27/2020 08:00,NA,NA,NA,NA,NA,NA,27-May-20,NM,NA,NA,NA,NA,NA,NAO,GPS 11 - N88 - F16. Tiny Tag removed by TAMAR.
172,Leao,SD,24-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
173,Leao,CD,24-Feb-20,89,20:25,10,N89,-3.86971,-32.43677,BRA 21653,BRA 21654,NA,NA,NA,112.4,98.8,SIM,#89-24/02/20-BRA 21653/ BRA 21654,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N89 - F31. Fotos ok.
174,Leao,ML,24-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 1:00 e 2:00.
175,Leao,SD,25-Feb-20,NA,20:41,11,F23 SD,-3.86943,-32.43517,NA,NA,BRA 21646,BRA 21659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - F23 SD
176,Leao,ML,25-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:40.
177,Leao,ML,25-Feb-20,NA,20:47,NA,NA,NA,NA,NA,NA,BRA 21602,BR 26380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
178,Leao,CD,25-Feb-20,90,22:00,NA,NA,-3.8698,-32.43692,NA,NA,BRA 21646,BRA 21659,NA,105.5,96.5,SIM,#90-25/02/20-BRA 21646/ BRA 21659,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N90 - F23. Fotos ok.
179,Leao,SD,26-Feb-20,NA,20:20,NA,NA,NA,NA,NA,NA,BR 67308,BR 68658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
180,Leao,CD,26-Feb-20,91,20:21,11,N91,-3.86941,-32.43571,NA,NA,BRA 21602,BR 26380,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N91 - F1. Fotos.
181,Leao,CD,27-Feb-20,92,20:25,10,N92,-3.86996,-32.4381,NA,NA,BRA 21632,BRA 21641,NA,NA,NA,NAO,NA,I,896691,2/27/2020 21:48,5/27/2020 07:58,NA,NA,NA,NA,NA,NA,27-May-20,NM,NA,NA,NA,NA,NA,NAO,GPS 10 - N92 - F13.  Tiny Tag removed by TAMAR.
182,Leao,CD,27-Feb-20,93,20:55,11,N93,-3.86951,-32.43614,NA,NA,BR 67308,BR 38658,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11- N 93- F24
183,Leao,SD,27-Feb-20,NA,21:33,NA,NA,NA,NA,NA,NA,BR 20516,BR 20517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F7
184,Leao,ML,27-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 20:40 e 21:40.
185,Leao,ML,27-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 20:40 e 21:40.
186,Leao,CD,28-Feb-20,94,20:05,10,42,-3.86958,-32.43628,NA,NA,BRA 21657,BRA 21658,NA,NA,NA,SIM,#94-28/02/20-BRA21657/ BRA 21658,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - 042 - F22.
187,Leao,CD,28-Feb-20,95,20:10,11,N95,-3.87005,-32.43781,NA,NA,BRA 21660,BRA 21673,NA,NA,NA,SIM,#95-28/02/20-BRA 21660/ BRA 21673,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N95 - F25.
188,Leao,CD,28-Feb-20,96,20:10,11,N96,-3.87013,-32.43812,NA,NA,BRA 21614,BRA 21615,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N96 - F8.
189,Leao,ML,28-Feb-20,NA,20:13,NA,NA,NA,NA,NA,NA,BR 20516,BR 20517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
190,Leao,ML,28-Feb-20,NA,20:45,NA,NA,NA,NA,NA,NA,BR 20516,BR 20517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
191,Leao,CD,28-Feb-20,97,21:05,11,N97,-3.87003,-32.43761,NA,NA,BRA 21633,BRA 21634,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N97 - F17.
192,Leao,ML,28-Feb-20,NA,21:11,NA,NA,NA,NA,NA,NA,BR 38657,BR 38683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
193,Leao,CD,28-Feb-20,98,22:08,11,N98,-3.86975,-32.43676,NA,NA,BR 20516,BR 20517,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N98 - F7. Fotos ok.
194,Leao,CD,28-Feb-20,99,22:21,10,N99,-3.86948,-32.43612,NA,NA,BR 38657,BR 38683,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N99 - F5.
195,Leao,CD,28-Feb-20,100,03:40,11,N100,-3.86974,-32.43764,NA,NA,BRA 21603,BR 53308,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N100 - F14.
196,Leao,ML,29-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:13.
197,Leao,CD,29-Feb-20,101,20:15,10,N101,-3.8696,-32.43692,NA,NA,BRA 21618,BR 98337,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N101. Marca BR 98337 na nadadeira posterior esquerda. 
198,Leao,CD,29-Feb-20,102,20:25,11,N102,-3.86987,-32.43726,NA,NA,BRA 21643,BR 77078,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 -  N102 - F11. Cicatriz nadadeira anterior direita. Fotos ok.
199,Leao,CD,29-Feb-20,103,20:30,11,N103,-3.86994,-32.43753,NA,NA,BRA 21671,BRA 21672,NA,NA,NA,SIM,#103- 29/02/20- BRA 21671/ BRA 21672,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N103 - F20. Fotos ok.
200,Leao,CD,29-Feb-20,104,21:02,10,N104,-3.86959,-32.43627,NA,NA,BR 38691,BR 20597,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N104 - F21. Fotos ok.
201,Leao,ML,29-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 21:20 e 22:24.
202,Leao,ML,29-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
203,Leao,CD,29-Feb-20,105,00:45,11,N105,-3.86957,-32.43608,BRA 21677,BRA 21678,NA,NA,NA,106,94,SIM,#105-29/02/20- BRA 21677/ BRA 21678,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N105 - F32. Fotos ok.
204,Leao,ML,1-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
205,Leao,SD,1-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
206,Leao,SD,1-Mar-20,NA,21:40,NA,NA,NA,NA,NA,NA,BRA 21623,BRA 21665,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
207,Leao,CD,1-Mar-20,106,21:43,10,N106,-3.86994,-32.43744,NA,NA,BRA 21616,BRA 21617,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N106 - F10.
208,Leao,ML,1-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 20:40 e 21:40.
209,Leao,CD,1-Mar-20,107,02:07,10,N107,-3.86977,-32.43689,NA,NA,BRA 21647,BRA 21648,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N107 - F18.
210,Leao,ML,1-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 1:00 e 2:00.
211,Leao,CD,2-Mar-20,108,20:40,11,108,-3.87011,-32.4381,NA,NA,BRA 21625,BRA 21670,NA,NA,NA,SIM,#108- 02/03/20- BRA 21625/ BRA 21670,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N108 - F19.
212,Leao,ML,2-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 20:30 e 21:30.
213,Leao,ML,2-Mar-20,NA,22:00,10,ML F33,-3.87009,-32.439009,BRA 21667,BRA 21668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 10 - MLF33 - F33.
214,Leao,ML,2-Mar-20,NA,00:07,NA,NA,NA,NA,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
215,Leao,ML,2-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
216,Leao,ML,2-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 3:00 e 4:00.
217,Leao,ML,3-Mar-20,NA,20:25,NA,NA,NA,NA,NA,NA,BRA 21651,BRA 21652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
218,Leao,ML,3-Mar-20,NA,20:55,NA,NA,NA,NA,BRA 21679,BRA 21680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
219,Leao,CD,3-Mar-20,109,20:55,10,N109,-3.86978,-32.43687,NA,NA,BRA 21629,BRA 21645,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,"GPS 10 - N109 - F15. Cavou um ninho ja nascido, talvez o 13."
220,Leao,ML,3-Mar-20,NA,21:03,NA,NA,NA,NA,NA,NA,BRA 21665,BRA 21623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
221,Leao,ML,3-Mar-20,NA,21:50,NA,NA,NA,NA,NA,NA,BRA 21667,BRA 21668,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
222,Leao,SD,3-Mar-20,NA,21:43,11,SD03/03,-3.86993,-32.43762,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 -  SD 03/03.
223,Leao,ML,3-Mar-20,NA,23:14,NA,NA,NA,NA,NA,NA,BRA 21662,BRA 21676,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
224,Leao,ML,3-Mar-20,NA,23:05,NA,NA,NA,NA,NA,NA,BRA 21651,BRA 21652,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
225,Leao,CD,3-Mar-20,110,23:20,10,N110,-3.86963,-32.43658,NA,NA,BRA 21627,BR 83329,NA,NA,NA,NAO,NA,I,896729,3/4/2020 00:35,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N110 - F9. *Tiny Tag perdido.
226,Leao,CD,3-Mar-20,111,23:20,10,N111,-3.86964,-32.43659,BRA 21681,BRA 21682,NA,NA,NA,106.5,98.1,SIM,#111- 03/03/20- BRA 21681/ BRA 21682,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N111 - F35.
227,Leao,SD,3-Mar-20,NA,23:30,11,SD03/03,-3.86985,-32.4372,NA,NA,BRA 21623,BRA 21665,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11- SD3/03
228,Leao,CD,3-Mar-20,112,00:04,11,N112,-3.87006,-32.43817,NA,NA,BRA 21662,BRA 21676,NA,107,104.1,SIM,#112-03/03/20- BRA 21676/ BRA 21662,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N112.
229,Leao,CD,3-Mar-20,113,02:00,10,N113,-3.86976,-32.43695,NA,NA,BRA 21623,BRA 21665,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N113 - F26.
230,Leao,ML,3-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 23:00 e 00:00.
231,Leao,ML,4-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entre 22:00 e 23:00
232,Leao,ML,4-Mar-20,NA,23:17,NA,NA,NA,NA,NA,NA,BRA 21613,BRA 21626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
233,Leao,ML,4-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 22:00 e 23:00.
234,Leao,CD,4-Mar-20,114,00:02,11,N114,-3.86998,-32.4379,NA,NA,BRA 21679,BRA 21680,NA,106.6,101,SIM,#114- 04/03/20- BRA 21679/ BRA 21680,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N114 - F34. Fotos ok.
235,Leao,CD,4-Mar-20,115,01:00,11,N115,-3.87005,-32.43784,NA,NA,BRA 21649,BRA 21650,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N115 - F16.
236,Leao,ML,4-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 1:00 e 2:00.
237,Leao,ML,5-Mar-20,NA,20:35,NA,NA,NA,NA,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
238,Leao,SD,5-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 00:20 e 01:20.
239,Leao,CD,6-Mar-20,117,20:33,11,N117,-3.87005,-32.43789,NA,NA,BRA 21651,BRA 21652,NA,NA,NA,SIM,#117-06/03/20- BRA 21651/ BRA 21652,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - N117 - F29.
240,Leao,CD,6-Mar-20,116,20:33,10,N116,-3.87008,-32.43794,NA,NA,BRA 21607,BRA 21608,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N116 - F2.
241,Leao,CD,6-Mar-20,118,20:33,10,N118,-3.87011,-32.43819,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 10 - N118 - F27.
242,Leao,CD,6-Mar-20,119,20:33,11,N119I e N119P ,-3.87,-32.4387,NA,NA,BRA 21613,BRA 21626,NA,118.6,114.3,SIM,#119- 06/03/20- BRA 21613 / BRA 21626,P,NA,NA,NA,A,93,0,-3.87008,-32.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - N 119 I e N 119P - F28. Fotos ok.
243,Leao,ML,6-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 22:30 e 23:30.
244,Leao,ML,6-Mar-20,NA,23:50,NA,NA,NA,NA,NA,NA,BRA 21667,BRA 21668,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F33.
245,Leao,ML,6-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
246,Leao,SD,7-Mar-20,NA,20:20,NA,NA,NA,NA,BRA 21687,BRA 21688,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F36.
247,Leao,ML,7-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 2:00 e 3:00.
248,Leao,ML,8-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes das 20:20.
249,Leao,CD,8-Mar-20,125,20:20,11,N125,-3.86956,-32.43612,NA,NA,BRA 21602,BR 26380,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 11 - N125 - F1.
250,Leao,CD,8-Mar-20,122,20:20,11,N122,-3.86953,-32.43639,NA,NA,BR 20516,BR 20517,NA,124.5,109,NAO,NA,I,896701,3/8/2020 21:35,5/28/2020 09:35,NA,NA,NA,NA,NA,NA,28-May-20,SU,83,13,42,138,NA,SIM - 1 natimorto,GPS 11 - N122 - F7. Tiny Tag removed by TAMAR.
251,Leao,CD,8-Mar-20,120,20:33,10,N120,-3.86975,-32.4369,NA,NA,BRA 21632,BRA 21641,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS10 - N120.
252,Leao,CD,8-Mar-20,121,20:33,10,N121,-3.86995,-32.43747,NA,NA,BRA 21667,BRA 21668,NA,111,95,SIM,#121-08/03/20-BRA21667/ BRA21668,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAO,GPS 10 - N121.
253,Leao,CD,8-Mar-20,124,20:48,10,N124,-3.86992,-32.43751,NA,NA,BRA 21687,BRA 21688,NA,106.3,101,SIM,#124-08/03/20- BRA21687/ BRA21688,I,896702,3/8/2020 21:40,5/28/2020 08:25,NA,NA,NA,NA,NA,NA,28-May-20,SU,59,0,24,83,NA,NAO,GPS 10 - N124 - F36 - 3 ovos anômalos. Tiny Tag removed by Tamar.
254,Leao,SD,9-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
255,Leao,ML,9-Mar-20,NA,20:20,NA,NA,NA,NA,NA,NA,BRA 21633,BRA 21634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
256,Leao,CD,9-Mar-20,123,20:30,11,N123,-3.86969,-32.43674,NA,NA,BRA 21646,BRA 21659,NA,NA,NA,SIM,#9/3/20 BRA 21659/ BRA 21646,I,881575,3/9/2020 20:42,5/27/2020 09:10,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,GPS 11 - N123. Tiny Tag removed by TAMAR.
257,Leao,ML,9-Mar-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 00:20 e 01:20.
