N_REGISTRO,PRAIA,TIPO_REG,TURTLE ID,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,Tempo de incubacao,Hatching success,OBSERVACAO
116,Leao,CD,F17,03-Mar-2021,52,21:15,11,115,-3.86956,-32.43690,NA,NA,BRA 27949,BRA 27951,NA,NA,NA,SIM,#52 03/03/21 BRA 27949/ BRA 27951,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Apr-2021,21-Apr-2021,SU,65,4,23,92,SIM - 64 filhotes,64,47,70.7,"GPS 11 - 115 - F17 (esmalte retocado). Lesão cicatrizada na nadadeira posterior esquerda. 19 filhotes emergidos dia 19-Apr-2021, 7 filhotes a ""um palmo"" da superficie coletados dia 19-Apr-2021 e 38 filhotes retidos, coletados na abertura dia 21-Apr-2021.  "
117,Leao,ML,F8,03-Mar-2021,NA,22:15,10,96,-3.87025,-32.43805,NA,NA,BRA 27901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 096 - F8 (tartaruga entrando na água, apenas uma marca conferida)"
118,Leao,CD,F20,03-Mar-2021,53,23:34,10,97,-3.86972,-32.43671,NA,NA,BRA 27957,BRA 27958,NA,107.2,103,SIM,#53 03/03/21 BRA 27957/ BRA 27958,I,502117,04-Mar-2021 00:32,22-Apr-2021 20:31,NA,NA,NA,NA,NA,21-Apr-2021,22-Apr-2021,SU,62,7,37,106,SIM - 60 filhotes,60,49,58.5,GPS 10 - 097 - F20 (pintada).
119,Leao,CD,F9,03-Mar-2021,54,23:43,10,98,-3.86972,-32.43683,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,20-Apr-2021,20-Apr-2021,SU,103,4,3,110,SIM - 32 filhotes,32,48,93.6,GPS 10 - 098 - F9 (esmalte retocado).
120,Leao,CD,F12,04-Mar-2021,55,20:03,10,99,-3.86963,-32.43653,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-Apr-2021,PA,70,0,1,71,NAO,,,,GPS 10 - 099 - F12 (esmalte retocado). Ninho estava telado e foi predado por teju que cavou e arrancou a tela. Nenhum filhote encontrado na abertura.
121,Leao,CD,F16,04-Mar-2021,56,20:11,11,116,-3.87002,-32.43786,NA,NA,BRA 27942,BRA 27943,NA,NA,NA,SIM,#56 04/03/21 BRA 27942/ BRA 27943,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Apr-2021,23-Apr-2021,SU,84,0,11,95,SIM - 84 filhotes,84,49,88.4,GPS 11 - 116 - F16 (esmalte retocado).
122,Leao,CD,F11,04-Mar-2021,57,20:10,11,117,-3.86988,-32.43770,BRA 27960,NA,BRA 27924,NA,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Apr-2021,22-Apr-2021,SU,87,1,26,120,SIM - 86 filhotes,86,49,72.5,GPS 11 - 117 - F11 (pintada novamente do lado esquerdo). Perdeu 1 marca marca BRA 27923 da nadadeira esquerda.  
123,Leao,ML,NA,04-Mar-2021,NA,NA,10,100,-3.87046,-32.43853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 100 Entre 22:30 e 23:30
124,Leao,CD,F7,04-Mar-2021,58,3:35,11,118,-3.87003,-32.43791,NA,NA,BRA 27917,BRA 27918,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-Apr-2021,25-Apr-2021,SU,99,1,14,114,SIM - 32 filhotes,32,51,86.8,GPS 11 - 118 - F7 (esmalte retocado).
125,Leao,CD,F6,05-Mar-2021,59,20:06,10,101,-3.86966,-32.43698,NA,NA,BRA 27903,BRA 27904,NA,108.2,103.8,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,23-Apr-2021,24-Apr-2021,SU,87,2,6,95,NAO,,49,91.6,GPS10- 101 F6 Esmalte retocado. 1 Ovo anomalo pequeno
126,Leao,CD,F2,05-Mar-2021,60,20:10,11,120,-3.87000,-32.43770,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,I,896711,05-Mar-2021 20:50,23-Apr-2021 20:52,NA,NA,NA,NA,NA,21-Apr-2021,23-Apr-2021,SU,126,1,13,140,NAO,,47,90.0,GPS 11 - 120 - F2 (pintada novamente lado esquerdo).
127,Leao,SD,F1,05-Mar-2021,NA,4:07,11,121,-3.86975,-32.43674,NA,NA,BRA 21740,BR 83209,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS11- 121 F1
128,Leao,CD,F1,06-Mar-2021,61,18:40,10,102,-3.86974,-32.43677,NA,NA,BRA 21740,BR 83209 ,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-Apr-2021,24-Apr-2021,SU,103,5,27,135,SIM - 96 filhotes,96,49,76.3,GPS 10 - 102 - F1 (esmalte retocado).
129,Leao,CD,F8,06-Mar-2021,62,20:19,10,103,-3.86992,-32.43776,NA,NA,BRA 27962,BRA 27901,NA,NA,NA,SIM,#62 06/03/31 BRA 27962/ BRA27901,I,NA,NA,NA,NA,NA,NA,NA,NA,21-Apr-2021,23-Apr-2021,SU,60,1,23,84,SIM - 33 filhotes,33,46,71.4,GPS 10 - 103 - F8 (esmalte retocado). 1 filhote emergido dia 21-Apr-2021 e o restante dos filhotes emergidos dia 23-Apr-2021.
130,Leao,CD,F18,07-Mar-2021,63,21:15,11,122,-3.86980,-32.43705,NA,NA,BRA 27952,BRA 27954,NA,101,90,SIM,#63 07/03/21 BRA 27952/BRA 27954,I,NA,NA,NA,NA,NA,NA,NA,NA,25-Apr-2021,25-Apr-2021,SU,72,0,13,85,SIM - 72 filhotes,72,49,84.7,"GPS 11 - 122 - F18 (pintada). Ninho marcado temporariamente com a estaca 177,  estaca foi substituida pela 63."
131,Leao,CD,F19,07-Mar-2021,64,21:21,10,104,-3.86950,-32.43597,NA,NA,BRA 06201,BRA 27936,NA,NA,NA,SIM,#64 07/03/21 BRA 06201/ BRA 27936,I,NA,NA,NA,NA,NA,NA,NA,NA,26-Apr-2021,26-Apr-2021,SU,93,1,22,116,NAO,,50,80.2,GPS 10 -104 - F19 (esmalte retocado).
132,Leao,CD,F13,09-Mar-2021,65,21:25,10,105,-3.87006,-32.43810,NA,NA,BRA 27948,BRA 27915,NA,NA,NA,SIM,#65 09/03/21 BRA 27948/ BRA 27915,I,NA,NA,NA,NA,NA,NA,NA,NA,27-Apr-2021,27-Apr-2021,SU,83,3,26,112,NAO,,49,74.1,GPS 10 - 105 - F13 (pintado lado direito retocado). Cavou um ninho antigo. 
133,Leao,ML,F5,10-Mar-2021,NA,21:30,11,123,-3.87039,-32.43865,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 123 - F5
134,Leao,SD,F3,10-Mar-2021,NA,22:30,10,106,-3.87004,-32.43810,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 106 - F3
135,Leao,SD,F10,10-Mar-2021,NA,23:00,11,124,-3.87003,-32.43799,NA,NA,BRA 06231,BR 77094,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 124 - F10 (BR 77094 na posterior direita) - Derrubou estacas 17 e 38, estacas recolocadas no lugar."
136,Leao,ML,F3,10-Mar-2021,NA,1:28,11,125,-3.87035,-32.43875,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 125 - F3
137,Leao,CD,F5,11-Mar-2021,66,20:07,10,107,-3.86980,-32.43715,NA,NA,BRA 27906,BRA 27907,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,27-Apr-2021,27-Apr-2021,SU,85,0,8,93,SIM - 32 filhotes,32,47,91.4,GPS 10 - 107 - F5 (pintada do lado esquerdo). 1 ovo anômalo pequeno.  
138,Leao,CD,F3,11-Mar-2021,67,20:10,11,126,-3.87007,-32.43806,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,02-May-2021,02-May-2021,SU,106,1,7,114,NAO,,52,93.0,GPS 11 - 126 - F3 (esmalte retocado)
139,Leao,SD,F10,11-Mar-2021,NA,22:35,10,108,-3.86987,-32.43731,NA,NA,BRA 06231,BR 77094,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 108 - F10. Passou em cima da tela 10 e derrubou a estaca 10 sem arrebentar o fio, estaca recolocada. "
140,Leao,CD,F10,11-Mar-2021,68,3:07,10,109,-3.87007,-32.43809,NA,NA,BRA 06231,BR 77094,NA,NA,NA,NAO,NA,I,502118,12-Mar-2021 03:20,02-May-2021 20:24,NA,NA,NA,NA,NA,29-Apr-2021,02-May-2021,SU,72,2,36,110,NAO,,49,65.5,GPS 10 - 109 - F10 (esmalte retocado)
141,Leao,SD,F14,11-Mar-2021,NA,3:46,10,110,-3.86946,-32.43555,NA,NA,BRA 27937,BRA 27938,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 110 - F14
142,Leao,SD,F21,12-Mar-2021,NA,19:55,11,127,-3.86949,-32.43511,NA,NA,BRA 27945,BRA 27946,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-127 F21 (pintura em bom estado)
143,Leao,ML,F21,12-Mar-2021,NA,21:33,10,111,-3.86958,-32.43493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS10-111 F21
144,Leao,SD,F23,12-Mar-2021,NA,4:37,11,128,-3.86947,-32.43520,BRA 27964,BRA 27965,NA,NA,NA,107,95.5,SIM,#12/03/21 BRA 27964/BRA 27965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS11- 128 F23 Foto ID ok.
145,Leao,CD,F22,13-Mar-2021,69,21:28,10,117,-3.86985,-32.43707,NA,NA,BRA 27959,BRA 21700,NA,NA,NA,SIM,#69 13/03/21 BRA 27959/BRA 21700,I,895562,14-Mar-2021 01:29,03-May-2021 00:10,NA,NA,NA,NA,NA,02-May-2021,02-May-2021,SU,65,4,32,101,SIM - 65 filhotes,65,50,64.4,GPS 10 - 117 - F22 (esmalte retocado). 
146,Leao,SD,NA,13-Mar-2021,NA,NA,10,112,-3.86945,-32.43538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 112 - Entre 20:05 e 21:30
147,Leao,ML,NA,13-Mar-2021,NA,NA,10,113,-3.86954,-32.43493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 113 - Entre 20:05 e 21:30
148,Leao,ML,NA,13-Mar-2021,NA,NA,10,114,-3.86948,-32.43514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 114 - Entre 20:05 e 21:30
149,Leao,SD,F21,13-Mar-2021,NA,21:35,10,115,-3.86950,-32.43510,NA,NA,BRA 27945,BRA 27946,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 115 - F21
150,Leao,CD,F17,13-Mar-2021,70,0:03,10,116,-3.87010,-32.43805,NA,NA,BRA 27951,BRA 27949,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,05-May-2021,06-May-2021,SU,79,1,6,86,SIM - 32 filhotes,32,53,91.9,GPS 10 - 116 - F17 (esmalte retocado).
151,Leao,SD,F21,14-Mar-2021,NA,20:00,10,118,-3.86956,-32.43492,NA,NA,BRA 27945,BRA 27946,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10- 118 F21
